case_id,message,user_id,session_id,kb_id
counselor_role_definition,辅导员在高校学生工作中的定位是什么？,1,1001,1
counselor_staffing_ratio,高校专职辅导员岗位配备比例有什么要求？,1,1001,1
counselor_main_responsibilities,辅导员的主要工作职责包括哪些方面？,1,1001,1
mental_health_responsibility,辅导员在心理健康教育与咨询工作中应承担哪些职责？,1,1001,1
network_ideological_education,辅导员如何开展网络思想政治教育？,1,1001,1
campus_crisis_response,校园危机事件发生时，辅导员应如何参与处置？,1,1001,1
daily_affairs_management,辅导员在学生日常事务管理中有哪些工作内容？,1,1001,1
career_ability_standard_value,《高等学校辅导员职业能力标准》对辅导员工作的作用是什么？,1,1001,1
precise_financial_aid_identification,资助育人工作中如何精准认定家庭经济困难学生？,1,1001,1
employment_guidance_values,辅导员应如何帮助学生树立正确的就业观念？,1,1001,1
